freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,fixation.started,sound_1.started,key_resp_3.started,fixation.stopped,sound_1.stopped,freq,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,text_2.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
200,4,3,31,2,,,,106.02687449997757,107.02619200995541,107.02618599997368,107.02618599997368,,200,down,0,1.0481367000029422,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,4,4,32,3,,,,108.09161719999975,109.0905000099854,109.09055089997128,109.10737569996854,109.77145749999909,200,up,0,0.904166400025133,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,4,5,33,6,,,,110.02349839999806,111.02223790999851,111.02232220000587,111.03954929998145,111.70263309997972,500,down,0,1.0267446999787353,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,4,6,34,1,,,,112.0710896999808,113.0703636099759,113.07019419997232,113.07019419997232,113.75124089996098,200,down,1,0.9640002999803983,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,5,0,35,4,,,,114.05219660000876,115.05154290997307,115.05128389998572,115.05128389998572,115.73131319996901,500,down,1,0.9445460999850184,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,5,1,36,6,,,,116.01720169995679,117.01685870995861,117.01648339995882,117.01648339995882,117.71400509995874,500,up,1,0.9449597999919206,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,5,2,37,3,,,,117.9821677999571,118.98086160995881,118.98084009997547,118.997661100002,,200,up,1,1.271805900032632,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,5,3,38,1,,,,120.2797881999868,121.27872211001231,121.27887819998432,121.29547089996049,,200,up,1,0.95931250002468,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,5,4,39,2,,,,122.26106399996206,123.25996530997217,123.26004490000196,123.27689340000506,123.94058150000637,200,down,1,0.8743016999796964,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,5,5,40,0,,,,124.15937159996247,125.15842780998791,125.15822839998873,125.15822839998873,125.839367699984,200,up,1,0.9472101000137627,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,5,6,41,5,,,,126.12445489998208,127.12338380996952,127.12340769998264,127.1409937000135,,500,down,1,0.8046454000286758,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,6,0,42,3,,,,127.95543370000087,128.95520700995695,128.95469549996778,128.95469549996778,129.63562169997022,200,down,0,1.0212091999710537,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,6,1,43,2,,,,130.00371059996542,131.00369240999572,131.00295399996685,131.00295399996685,131.699225999997,200,up,1,1.1880668999510817,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,6,2,44,4,,,,132.218337600003,133.21689780997696,133.21665009995922,133.23352050001267,133.91509029996814,500,down,0,0.9022819999954663,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,6,3,45,1,,,,134.14969920000294,135.14986200995628,135.15024250000715,135.15024250000715,,200,down,0,0.9438859000219963,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,6,4,46,6,,,,136.11427879997063,137.11342430997757,137.11326199996984,137.11326199996984,137.81106169999111,500,up,0,1.0939103999990039,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,6,5,47,5,,,,138.22841969999718,139.2282545099559,139.22826239996357,139.22826239996357,139.90874250000343,500,up,1,0.9703484000056051,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
